Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.3005289606643947,0.8215758857747224
CAD,0.4530109416998678,0.6693548387096775
CHF,0.6268196001061414,0.687414066631412
Depression,0.2995654535521368,0.7544420941300899
Diabetes,0.2671093069567799,0.6496562665256478
Gallstones,0.3018293667748662,0.8281332628239028
GERD,0.2518214865630219,0.6088048651507139
Gout,0.3678255998537835,0.8478582760444209
Hypercholesterolemia,0.3589664531126008,0.49249074563722894
Hypertension,0.2745105008210988,0.7005023796932839
Hypertriglyceridemia,0.34905586754645274,0.9067424643046008
OA,0.2884867384502405,0.7642517186673716
Obesity,0.36559644727734203,0.5419090428344792
OSA,0.34972206993291816,0.8314912744579587
PVD,0.2892930168337677,0.7676890534108937
Venous-Insufficiency,0.29377835086045134,0.7888947646747753
