Morbidity Class,E1_Macro F1,E1_Micro F1
Asthma,0.9208045254556882,0.9603174603174603
CAD,0.9564224942934219,0.9571428571428572
CHF,0.3577981651376147,0.5571428571428572
Depression,0.8331895312050618,0.8706896551724138
Diabetes,0.9388111888111887,0.9428571428571428
Gallstones,0.7651991614255765,0.8303571428571429
GERD,0.7995279307631786,0.8673469387755102
Gout,0.8280166435506241,0.9032258064516129
Hypercholesterolemia,0.8827059465357338,0.8837209302325582
Hypertension,0.8375241779497099,0.8690476190476191
Hypertriglyceridemia,0.641025641025641,0.9047619047619048
OA,0.8264957264957264,0.8793103448275863
Obesity,0.9284399918217133,0.9285714285714286
OSA,0.9405835543766579,0.9732142857142857
PVD,0.9158810732414793,0.9568965517241379
Venous-Insufficiency,0.8366071428571429,0.9508196721311475
Overall-Average,0.8255645559341351,0.8897139123579793
