Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9029448740130382,0.9597701149425287
CAD,0.8456298726114891,0.8520538720538721
CHF,1.0,1.0
Depression,0.7110905347357607,0.8092928112215081
Diabetes,0.8940888254705769,0.9153508771929826
Gallstones,0.5232520268248864,0.7554802259887006
GERD,0.7739358806015947,0.8397108843537413
Gout,0.8847219997715934,0.9479661016949151
Hypercholesterolemia,0.8102155032652586,0.8126666666666665
Hypertension,0.8417154363408075,0.9039133473095738
Hypertriglyceridemia,0.4971323689409588,0.8843658679135009
OA,0.5376492037097258,0.7328320802005013
Obesity,0.9354358470270905,0.9365909090909088
OSA,0.8964503191067055,0.9508474576271186
PVD,0.7796522952360284,0.8886038961038961
Venous-Insufficiency,0.5423565984040075,0.8651306240928882
