Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.505398472032971,0.8828493647912886
CAD,0.7617739186329556,0.7793265993265994
CHF,1.0,1.0
Depression,0.5178040015064814,0.7973407364114552
Diabetes,0.6197660476566715,0.7585213032581454
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4499098239310329,0.7659013605442178
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.647018212000434,0.6511372549019607
Hypertension,0.47619321057258046,0.804262753319357
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.452141711885941,0.8264724310776941
Obesity,0.6312609204439374,0.6439285714285714
OSA,0.6586103993563504,0.8847457627118643
PVD,0.5439295945543039,0.8561038961038963
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
