Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9093077411324556,0.9649425287356321
CAD,0.8389718527222257,0.844949494949495
CHF,1.0,1.0
Depression,0.7401403277115528,0.8333722969023963
Diabetes,0.880859716288606,0.9029135338345865
Gallstones,0.47352767430103404,0.7048022598870056
GERD,0.5507310688168865,0.6593962585034013
Gout,0.5287721360400575,0.7666666666666668
Hypercholesterolemia,0.8038547519893637,0.8068627450980392
Hypertension,0.8530503026539232,0.9076519916142558
Hypertriglyceridemia,0.4770184340615433,0.8774400935125657
OA,0.6027428474105486,0.755701754385965
Obesity,0.9291784722069563,0.9312012987012984
OSA,0.7714516342046617,0.8847457627118646
PVD,0.8022583055937483,0.899155844155844
Venous-Insufficiency,0.5506316069596316,0.8593976777939043
Overall-Average,0.7320310545058246,0.8499500129658075
