Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9759248241674555,0.9760792079207923
CAD,0.8571081967693465,0.8584615384615386
CHF,1,1
Depression,0.8511979204266537,0.8543478260869565
Diabetes,0.9453028934295897,0.9457278481012658
Gallstones,0.8542502241509876,0.8566880217433509
GERD,0.7784443604903009,0.780864864864865
Gout,0.8675690034445008,0.8697068707991038
Hypercholesterolemia,0.8068741865724798,0.8110304789550072
Hypertension,0.8963208362238637,0.897264021887825
Hypertriglyceridemia,0.9454286782604872,0.9458640458640458
OA,0.831644152204768,0.8350263097689317
Obesity,0.930419397061448,0.9314644137224782
OSA,0.9303390603105349,0.9318093574063289
PVD,0.9221909573433242,0.9242964996568291
Venous-Insufficiency,0.9004368618817828,0.9014497422680412
Overall-Average,0.8933407220460954,0.8950050654692101
