Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9010978739079999,0.9579854809437387
CAD,0.8626044341711383,0.8686195286195286
CHF,1.0,1.0
Depression,0.7010170070710479,0.7989772063120982
Diabetes,0.8783145757928699,0.9030075187969924
Gallstones,0.5270960255950692,0.7656779661016949
GERD,0.5423708566287758,0.6794642857142857
Gout,0.5596387959665803,0.8019774011299434
Hypercholesterolemia,0.8041424893047313,0.806470588235294
Hypertension,0.7907730470767736,0.8699510831586303
Hypertriglyceridemia,0.5139405357958414,0.8859731151373467
OA,0.5931272895718898,0.7611215538847118
Obesity,0.9345803090950546,0.9366883116883118
OSA,0.7588605967318898,0.888135593220339
PVD,0.792541049987819,0.8868506493506494
Venous-Insufficiency,0.543661212801964,0.8614296081277212
Overall-Average,0.7314853812187152,0.8545206181513304
