Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.967920420055783,0.8656716417910447
CAD,0.854211455359452,0.8761609907120742
CHF,1,1
Depression,0.8486251768781816,0.6454183266932271
Diabetes,0.9118165784832452,0.9368686868686869
Gallstones,0.7691496543535847,0.2391304347826087
GERD,0.6495345177166398,0.2868852459016393
Gout,0.785234899328859,0.1794871794871795
Hypercholesterolemia,0.8048738734088037,0.8085937499999999
Hypertension,0.8861496713329197,0.9302325581395349
Hypertriglyceridemia,0.9072232298239227,0.13333333333333333
OA,0.7451327433628319,0.2653061224489796
Obesity,0.9548031823313856,0.9478079331941545
OSA,0.9016949152542373,0.6547619047619048
PVD,0.9053311615187141,0.7005649717514124
Venous-Insufficiency,0.8520511192949202,0.13186813186813187
Overall-Average,0.8589845374064675,0.6001307007333694
