Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9792703962703964,0.9166666666666667
CAD,0.8740428235434624,0.8940092165898617
CHF,1,1
Depression,0.8024058071946697,0.5150214592274679
Diabetes,0.9279808600103449,0.9479034307496823
Gallstones,0.7784161853484631,0.20253164556962025
GERD,0.6432642420728951,0.2553191489361702
Gout,0.8043157772536715,0.23841059602649006
Hypercholesterolemia,0.8407082948668926,0.8431372549019607
Hypertension,0.9123730561345096,0.9466357308584686
Hypertriglyceridemia,0.8955953865777022,0.03278688524590164
OA,0.7717175754115521,0.35000000000000003
Obesity,0.9655960518290955,0.959830866807611
OSA,0.9190420816757648,0.7176470588235294
PVD,0.9080571181755217,0.7052023121387283
Venous-Insufficiency,0.8720244667012728,0.24444444444444444
Overall-Average,0.8684256326916383,0.6105966698116626
