Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9843136859322346,0.9361702127659575
CAD,0.8939229732791688,0.9115853658536586
CHF,1,1
Depression,0.8592720673172194,0.638888888888889
Diabetes,0.9366121367593255,0.9544303797468355
Gallstones,0.781875885820532,0.020618556701030927
GERD,0.7068887656607782,0.23899371069182387
Gout,0.8177103045579104,0.1651376146788991
Hypercholesterolemia,0.8586314459832954,0.8621359223300971
Hypertension,0.9309410413812025,0.9565217391304347
Hypertriglyceridemia,nan,nan
OA,0.7963453517921603,0.2677165354330709
Obesity,0.9745949231270713,0.9699570815450644
OSA,0.9291627472691487,0.7368421052631577
PVD,0.9362654610011537,0.7848101265822784
Venous-Insufficiency,0.8845228221863795,0.20895522388059704
Overall-Average,nan,nan
