Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9753714461986567,0.8985507246376812
CAD,0.8776040926115252,0.8973966309341502
CHF,1,1
Depression,0.8382981228430355,0.5999999999999999
Diabetes,0.934798144168871,0.9532237673830595
Gallstones,0.7645966053996112,0.1614906832298137
GERD,0.6863956008156172,0.3069767441860466
Gout,0.814325150438455,0.23529411764705882
Hypercholesterolemia,0.8267655016306356,0.8317214700193424
Hypertension,0.9185637538995834,0.9499417927823051
Hypertriglyceridemia,0.9115752637648618,0.11538461538461539
OA,0.7963018365210771,0.42
Obesity,0.9673779675548067,0.9617021276595744
OSA,0.9060699674375888,0.6666666666666667
PVD,0.9116627213843249,0.7167630057803469
Venous-Insufficiency,0.8675787868367613,0.1728395061728395
Overall-Average,0.8748303100940882,0.6179969907802187
