Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9825174825174825,0.9285714285714286
CAD,0.8987259711830168,0.9180327868852459
CHF,1,1
Depression,0.8884517586825207,0.6974358974358973
Diabetes,0.9033889585504628,0.9301143583227447
Gallstones,0.7979010603679358,0.12962962962962962
GERD,0.7096519844748265,0.26347305389221554
Gout,0.8168547115940944,0.1509433962264151
Hypercholesterolemia,0.8625372558882932,0.8622754491017964
Hypertension,0.9298977954416917,0.9549763033175356
Hypertriglyceridemia,0.9187078159976607,0.05555555555555555
OA,0.7878176793093205,0.2857142857142857
Obesity,0.9655100837411553,0.9591397849462366
OSA,0.9359083146599805,0.7764705882352941
PVD,0.930035164910846,0.7612903225806451
Venous-Insufficiency,0.882963412888604,0.14035087719298245
Overall-Average,0.8881793406379931,0.6133733573504944
