Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9825174825174825,0.9285714285714286
CAD,0.8954437323554698,0.9140271493212669
CHF,1,1
Depression,0.8809225184991856,0.6944444444444443
Diabetes,0.9101271716922275,0.9355246523388117
Gallstones,0.8136723423820732,0.21238938053097348
GERD,0.7143730904183252,0.27544910179640725
Gout,0.8180447604141798,0.09090909090909091
Hypercholesterolemia,0.8645160311136407,0.8640000000000001
Hypertension,0.9399555092803218,0.9625292740046839
Hypertriglyceridemia,0.9125570312846997,0.0851063829787234
OA,0.7888106872102352,0.27972027972027974
Obesity,0.9691191886063091,0.9632829373650108
OSA,0.926563792723933,0.7393939393939394
PVD,0.9406655406288086,0.7947019867549668
Venous-Insufficiency,0.8853101438755958,0.16949152542372878
Overall-Average,0.8901624389376555,0.6193463483471098
