Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9807096228872239,0.920863309352518
CAD,0.8997193027621793,0.9212827988338191
CHF,1,1
Depression,0.8507622285588945,0.625
Diabetes,0.9290885945021282,0.9498746867167919
Gallstones,0.7806846882429812,0.0
GERD,0.7458424532346504,0.35714285714285715
Gout,0.8187795636345625,0.16666666666666669
Hypercholesterolemia,0.8625612548437219,0.8628230616302186
Hypertension,0.9351160220834498,0.9586776859504134
Hypertriglyceridemia,nan,nan
OA,0.7951694096571468,0.2898550724637681
Obesity,0.9672909840375835,0.961038961038961
OSA,0.932688353848724,0.7577639751552795
PVD,0.9423996769320511,0.7999999999999999
Venous-Insufficiency,0.8899913624929185,0.20338983050847456
Overall-Average,nan,nan
