Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.98082783836162,0.921985815602837
CAD,0.8913605872690543,0.9120715350223547
CHF,1,1
Depression,0.8757100180797132,0.6699507389162561
Diabetes,0.9305451270439062,0.9514321295143213
Gallstones,0.7872920225400428,0.05940594059405941
GERD,0.7073992527980112,0.24691358024691357
Gout,0.8125491261535351,0.06741573033707866
Hypercholesterolemia,0.8685258964143426,0.8685258964143426
Hypertension,0.9399555092803218,0.9625292740046839
Hypertriglyceridemia,0.9113524304122357,0.0
OA,0.8000240804286316,0.33333333333333337
Obesity,0.9654861519717571,0.9589632829373649
OSA,0.9342356264539715,0.7625
PVD,0.9423996769320511,0.7999999999999999
Venous-Insufficiency,0.8841045218528967,0.16666666666666666
Overall-Average,0.8894854916245059,0.6051058702243882
