Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.4672986632039369,0.8776164549304294
CAD,0.718744871061894,0.7518855218855219
CHF,1.0,1.0
Depression,0.46329019107041497,0.793834015195792
Diabetes,0.4300183470661107,0.7039160401002507
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.5985493598991976,0.6034901960784314
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.452141711885941,0.8264724310776941
Obesity,0.577078211662689,0.6039935064935065
OSA,0.4856885180255343,0.8610169491525423
PVD,0.45720052093954766,0.8435389610389612
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
Overall-Average,0.526039184765784,0.8136547733043807
