Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.6927668417822599,0.6941683168316831
CAD,0.7891579356931097,0.7907692307692308
CHF,1,1
Depression,0.5836559110376284,0.5902173913043478
Diabetes,0.6838473040795018,0.686993670886076
Gallstones,0.5914327715626457,0.6017084061347312
GERD,0.566411444594453,0.5711171171171171
Gout,0.6083269942359928,0.6138909634055265
Hypercholesterolemia,0.6069461485095793,0.6145137880986938
Hypertension,0.5905515881611331,0.6040218878248973
Hypertriglyceridemia,0.7567062483143377,0.7581244881244881
OA,0.6549315681354044,0.6571837108213223
Obesity,0.6214117484700018,0.6242703533026115
OSA,0.6342540245069872,0.6384294311784119
PVD,0.7158583945290122,0.7206588881262869
Venous-Insufficiency,0.7598180871313022,0.761426116838488
Overall-Average,0.6785048131714594,0.6829683600477445
