Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.9556492779857066,0.9824561403508772
CAD,0.9125309344955019,0.9178451178451178
CHF,1,1
Depression,0.7647833713075274,0.8711864406779661
Diabetes,0.9279935681614189,0.9418233082706765
Gallstones,0.5097419964301964,0.8127683615819208
GERD,0.5954178230300367,0.7494897959183673
Gout,0.5018713921768855,0.8607344632768361
Hypercholesterolemia,0.8967653892816232,0.8982745098039215
Hypertension,0.8901057775981689,0.9341020265548569
Hypertriglyceridemia,0.5168872898324002,0.9217416715371127
OA,0.5823286116017532,0.824780701754386
Obesity,0.9721700241888959,0.9727922077922078
OSA,0.8415572993887922,0.9338983050847457
PVD,0.8872746320295539,0.9478246753246754
Venous-Insufficiency,0.6223418780803651,0.9240928882438316
Overall-Average,0.7735887040993016,0.905863163376094
