Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.6093595135837382,0.8985783424077434
CAD,0.8976928072512701,0.9051178451178451
CHF,1.0,1.0
Depression,0.5212996220804968,0.8092343658679135
Diabetes,0.8758962771927346,0.9014724310776941
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.43161818461332835,0.7617772108843537
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.826426750326626,0.8287058823529412
Hypertension,0.5382335433036133,0.8212089447938504
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.4780391477833768,0.8300438596491228
Obesity,0.8866505301472491,0.8934090909090908
OSA,0.5942021533722733,0.8779661016949152
PVD,0.6096120924304765,0.8687012987012988
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
