Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.9889561524136841,0.989049504950495
CAD,0.9185807530835766,0.9200000000000002
CHF,1,1
Depression,0.9085882902061154,0.9097826086956522
Diabetes,0.9669974233271332,0.9671835443037976
Gallstones,0.8446244652563134,0.846787031644341
GERD,0.7579053180102988,0.7608648648648648
Gout,0.9131584789128819,0.9150298730395818
Hypercholesterolemia,0.8979647936907383,0.9006531204644412
Hypertension,0.9362214598499016,0.93703146374829
Hypertriglyceridemia,0.6767079859442805,0.6903849303849303
OA,0.8209997013218133,0.8232555479295355
Obesity,0.9754582014608892,0.9760880696364567
OSA,0.9709331442325759,0.9713744903902153
PVD,0.963997779255181,0.9648135438114849
Venous-Insufficiency,0.9547328658514275,0.9554338487972508
Overall-Average,0.9059891758010508,0.9079832776663336
