Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.9919438722280273,0.992029702970297
CAD,0.9328710844519182,0.9338461538461539
CHF,1,1
Depression,0.9339119948939153,0.9347826086956521
Diabetes,0.9695515980536025,0.9697310126582279
Gallstones,0.924511886671068,0.9258687633469231
GERD,0.8716512823340518,0.8736036036036035
Gout,0.948954179021316,0.9497386109036594
Hypercholesterolemia,0.8784615738633811,0.8814586357039188
Hypertension,0.96933086719561,0.9696716826265389
Hypertriglyceridemia,0.9817566408751469,0.9819492219492221
OA,0.9432050987861824,0.9442690459849004
Obesity,0.97722111138428,0.9777009728622634
OSA,0.9756506637702633,0.9762764511745292
PVD,0.9704446989641516,0.97124227865477
Venous-Insufficiency,0.9737180229679897,0.9741194158075601
Overall-Average,0.9526990359663066,0.9535180100492637
