Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.5225068648294371,0.8846037507562009
CAD,0.7970663618230495,0.8084175084175085
CHF,1,1
Depression,0.4408968801610552,0.790385739333723
Diabetes,0.5823768898200031,0.7478696741854637
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.7042885024396428,0.7071372549019607
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.48144010891613476,0.831766917293233
Obesity,0.6725946853423864,0.7161363636363636
OSA,0.5331553768895068,0.8677966101694915
PVD,0.4653372730762998,0.8453246753246754
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
Overall-Average,0.5603924690459245,0.8345094244334742
