Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.8412193847188076,0.8454950495049504
CAD,0.8056874621564264,0.8107692307692307
CHF,1,1
Depression,0.678385112063467,0.6858695652173913
Diabetes,0.7797798602657456,0.7904430379746836
Gallstones,0.6170561706054257,0.622384003106193
GERD,0.5603667368327808,0.5670810810810811
Gout,0.6638903573813519,0.6707617625093352
Hypercholesterolemia,0.6805869901392088,0.688933236574746
Hypertension,0.6964740505308609,0.7045827633378934
Hypertriglyceridemia,0.7390850877803791,0.7419000819000818
OA,0.6615396796057968,0.6648936170212767
Obesity,0.6500345830909465,0.656246799795187
OSA,0.8531853969422822,0.8558046981168704
PVD,0.7574576354414269,0.7665408373369939
Venous-Insufficiency,0.7984658057573184,0.7997959621993127
Overall-Average,0.736450894582014,0.7419688579028267
