Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.5434235561115689,0.798790078644888
CAD,0.6063191177433815,0.6241077441077441
CHF,1.0,1.0
Depression,0.539344780264747,0.6805084745762712
Diabetes,0.5564809551025718,0.6349310776942356
Gallstones,0.4608706165537252,0.7134180790960453
GERD,0.49071259963151076,0.6222789115646259
Gout,0.5442442629482552,0.7817231638418078
Hypercholesterolemia,0.55391884535518,0.5592156862745098
Hypertension,0.5093149449339879,0.6853948287910552
Hypertriglyceridemia,0.4772067243918908,0.8808007013442432
OA,0.4601596401606091,0.6386278195488722
Obesity,0.5011056416638359,0.5136038961038961
OSA,0.5351465434881943,0.7508474576271187
PVD,0.5393002981456637,0.7519155844155844
Venous-Insufficiency,0.5256774338232292,0.8460449927431059
Overall-Average,0.552701622519897,0.7176380310233753
