Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.4997431779495898,0.7499697519661221
CAD,0.615484805152904,0.6350505050505051
CHF,1.0,1.0
Depression,0.5320314060322181,0.6889538281706604
Diabetes,0.5762271653529016,0.6402255639097745
Gallstones,0.516143177863926,0.7605649717514125
GERD,0.5257079936297596,0.661267006802721
Gout,0.5376163500687965,0.7870338983050849
Hypercholesterolemia,0.5313119476294565,0.5397647058823529
Hypertension,0.5255989447045473,0.6856394129979035
Hypertriglyceridemia,0.48016082796426557,0.8843366452367037
OA,0.4769860959067224,0.6902882205513785
Obesity,0.5302682881789215,0.5407792207792207
OSA,0.5702878262155421,0.7796610169491526
PVD,0.5084018972878014,0.7124350649350649
Venous-Insufficiency,0.5140787779995734,0.8461175616835994
Overall-Average,0.5587530426210578,0.7251304609357285
