Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.8148407148407149,0.9357142857142857
CAD,0.6790079365079364,0.6880952380952381
CHF,1.0,1.0
Depression,0.6457498057498057,0.8023809523809524
Diabetes,0.4685064935064934,0.5357142857142857
Gallstones,0.5338053613053613,0.7119047619047619
GERD,0.5507070707070707,0.8266666666666665
Gout,0.6072494172494172,0.85
Hypercholesterolemia,0.4556926406926407,0.6033333333333333
Hypertension,0.592478354978355,0.6666666666666667
Hypertriglyceridemia,1.0,1.0
OA,0.464125874125874,0.7261904761904762
Obesity,0.47896825396825404,0.5666666666666667
OSA,0.682913752913753,0.8404761904761905
PVD,0.8155400155400155,0.9380952380952381
Venous-Insufficiency,0.6672727272727272,0.8833333333333334
Overall-Average,0.6535536512099014,0.7859523809523808
