Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.6155244755244754,0.8761904761904763
CAD,0.5110714285714286,0.5452380952380952
CHF,1.0,1.0
Depression,0.6178554778554779,0.8357142857142857
Diabetes,0.5238492063492063,0.5428571428571429
Gallstones,0.7911322011322011,0.8976190476190476
GERD,0.5528535353535353,0.7666666666666666
Gout,0.7184615384615386,0.8904761904761903
Hypercholesterolemia,0.4999783549783549,0.6466666666666666
Hypertension,0.4330555555555556,0.5633333333333332
Hypertriglyceridemia,1.0,1.0
OA,0.5586130536130536,0.769047619047619
Obesity,0.46309523809523806,0.4833333333333332
OSA,0.6137229437229437,0.7404761904761905
PVD,0.6027039627039626,0.8404761904761905
Venous-Insufficiency,0.7818181818181819,0.9333333333333333
Overall-Average,0.6427334471084472,0.7707142857142857
