Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.8098958098958099,0.11111111111111112
CAD,0.6440340665358723,0.7004608294930876
CHF,1,1
Depression,0.6950551330484458,0.029411764705882356
Diabetes,0.6555339805825243,0.7709090909090909
Gallstones,0.7801078278295615,0.0202020202020202
GERD,0.6720709674560148,0.1
Gout,0.8087149209982762,0.11320754716981134
Hypercholesterolemia,0.6269116749855664,0.6654676258992807
Hypertension,0.7231437420898147,0.8664495114006515
Hypertriglyceridemia,0.9147807410487396,0.0
OA,0.7467944456435713,0.019047619047619042
Obesity,0.5421382982622558,0.4673684210526316
OSA,0.7978623269975021,0.1746031746031746
PVD,0.7800090433857717,0.20289855072463767
Venous-Insufficiency,0.8715829697220128,0.0
Overall-Average,0.7542897467801086,0.32757107914493744
