Morbidity Class,KNN1_Macro F1,KNN1_Micro F1,KNN5_Macro F1,KNN5_Micro F1
Asthma,0.6209790209790209,0.8928571428571427,0.837062937062937,0.9523809523809523
CAD,0.6442857142857142,0.6619047619047618,0.5983080808080808,0.6333333333333334
CHF,1.0,1.0,1.0,1.0
Depression,0.6224592074592075,0.8476190476190476,0.6075174825174824,0.85
Diabetes,0.5700793650793651,0.588095238095238,0.5931926406926407,0.6571428571428571
Gallstones,0.6615284715284714,0.8523809523809524,0.6703379953379953,0.8476190476190476
GERD,0.46840909090909094,0.7333333333333333,0.6662626262626263,0.8800000000000001
Gout,0.6601282051282051,0.8619047619047618,0.7777622377622377,0.9214285714285715
Hypercholesterolemia,0.5524567099567099,0.6966666666666667,0.520508658008658,0.7299999999999999
Hypertension,0.40208152958152954,0.58,0.5573989898989898,0.7233333333333333
Hypertriglyceridemia,1.0,1.0,1.0,1.0
OA,0.5693639693639694,0.7714285714285715,0.7571386946386947,0.8904761904761905
Obesity,0.5669444444444445,0.5809523809523809,0.5188095238095238,0.5928571428571429
OSA,0.6276515151515152,0.7571428571428572,0.5498834498834497,0.8238095238095238
PVD,0.6027039627039626,0.8404761904761905,0.7286713286713286,0.9214285714285715
Venous-Insufficiency,0.7272727272727273,0.9166666666666667,0.890909090909091,0.9666666666666668
Overall-Average,0.6475306334290709,0.7840699404761906,0.7046102335164834,0.8369047619047619
