Morbidity Class,KNN1_Macro F1,KNN1_Micro F1,KNN5_Macro F1,KNN5_Micro F1
Asthma,0.9580730380730381,0.9596153846153845,0.8820216384922268,0.8884615384615385
CAD,0.5139862914862915,0.5428571428571428,0.5124603174603174,0.5285714285714286
CHF,1,1,1,1
Depression,0.9072420634920636,0.9128787878787878,0.8819173881673882,0.8871212121212121
Diabetes,0.5951587301587302,0.6285714285714284,0.486046176046176,0.5285714285714285
Gallstones,0.8766294816294817,0.884848484848485,0.7414574314574314,0.7568181818181818
GERD,0.8771500721500722,0.8966666666666667,0.790436507936508,0.8155555555555555
Gout,0.9081174870880753,0.9128205128205128,0.8023654123654124,0.8147435897435897
Hypercholesterolemia,0.7673304473304474,0.7819444444444443,0.6807431457431458,0.6972222222222222
Hypertension,0.7215134865134865,0.763888888888889,0.6543561993561994,0.6930555555555555
Hypertriglyceridemia,1,1,1,1
OA,0.8401624325966432,0.8530303030303031,0.7289565091770974,0.7484848484848484
Obesity,0.5099206349206349,0.5285714285714287,0.5264285714285715,0.5428571428571429
OSA,0.9181013431013432,0.9212121212121213,0.7335035552682612,0.7689393939393939
PVD,0.9092377557083438,0.915151515151515,0.7808508403361344,0.8045454545454545
Venous-Insufficiency,0.9814192343604109,0.9839743589743589,0.9295182187093953,0.9346153846153845
Overall-Average,0.8302526561630664,0.8428769667832169,0.7581913694965164,0.7755976835664335
