Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.4672986632039369,0.8776164549304294
CAD,0.3898864026943234,0.5821212121212122
CHF,1.0,1.0
Depression,0.4404041856316634,0.7886616014026885
Diabetes,0.409804351439744,0.6985902255639098
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4738123194692568,0.8691242937853108
Hypercholesterolemia,0.5616693882186944,0.565764705882353
Hypertension,0.4454577907793748,0.8042627533193573
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.452141711885941,0.8264724310776941
Obesity,0.4967235733593304,0.5552597402597402
OSA,0.4614615533195976,0.8576271186440678
PVD,0.45720052093954766,0.8435389610389612
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
Overall-Average,0.494479118268961,0.7966548722115744
