Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.9404616298733945,0.9442307692307692
CAD,0.7226370851370851,0.7428571428571428
CHF,1,1
Depression,0.6772832396361809,0.6984848484848485
Diabetes,0.39190476190476187,0.4428571428571428
Gallstones,0.6565734265734265,0.6696969696969697
GERD,0.7157029082029082,0.7233333333333334
Gout,0.885324871207224,0.896153846153846
Hypercholesterolemia,0.6049242424242424,0.6180555555555556
Hypertension,0.7034398934398934,0.7388888888888888
Hypertriglyceridemia,1,1
OA,0.8064359251859251,0.8121212121212121
Obesity,0.5156926406926406,0.5285714285714286
OSA,0.7688024475524476,0.7840909090909092
PVD,0.8660926573426574,0.8795454545454545
Venous-Insufficiency,0.9814192343604109,0.9839743589743589
Overall-Average,0.7647934352208248,0.7789288662726163
