Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.837062937062937,0.9523809523809523
CAD,0.7580555555555556,0.7714285714285715
CHF,1,1
Depression,0.4785878010878011,0.7261904761904762
Diabetes,0.5945238095238096,0.6166666666666666
Gallstones,0.5716083916083916,0.7547619047619047
GERD,0.5551515151515152,0.8400000000000001
Gout,0.7732750582750583,0.9071428571428571
Hypercholesterolemia,0.5164069264069264,0.6466666666666667
Hypertension,0.6259920634920635,0.6866666666666666
Hypertriglyceridemia,1,1
OA,0.6292773892773893,0.8214285714285715
Obesity,0.6426587301587301,0.6714285714285715
OSA,0.6797474747474748,0.8047619047619048
PVD,0.5557925407925407,0.8428571428571429
Venous-Insufficiency,0.890909090909091,0.9666666666666668
Overall-Average,0.6943155802530802,0.8130654761904762
