Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.4672986632039369,0.8776164549304294
CAD,0.6695642958161288,0.6934343434343434
CHF,1.0,1.0
Depression,0.4604193154334461,0.7886616014026885
Diabetes,0.5732097445037144,0.7145050125313284
Gallstones,0.476600930366845,0.853276836158192
GERD,0.4434225243711493,0.7475340136054421
Gout,0.4989792696000813,0.8674293785310734
Hypercholesterolemia,0.6483961216513118,0.6552156862745098
Hypertension,0.47121327125800716,0.7873515024458421
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.45811975749269945,0.8229010025062656
Obesity,0.5213340341823798,0.5567532467532467
OSA,0.4600028181337982,0.8525423728813559
PVD,0.547644496783138,0.8525324675324676
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
