Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.837062937062937,0.9523809523809523
CAD,0.5311904761904762,0.6
CHF,1.0,1.0
Depression,0.6269463869463868,0.8619047619047618
Diabetes,0.5129761904761905,0.5452380952380953
Gallstones,0.5266355866355866,0.8
GERD,0.6309090909090909,0.8266666666666665
Gout,0.6648834498834499,0.8761904761904763
Hypercholesterolemia,0.7010678210678211,0.8099999999999999
Hypertension,0.42551587301587296,0.5733333333333334
Hypertriglyceridemia,1.0,1.0
OA,0.6527622377622377,0.8428571428571429
Obesity,0.4928968253968253,0.519047619047619
OSA,0.4860023310023309,0.7142857142857142
PVD,0.674125874125874,0.9047619047619049
Venous-Insufficiency,0.7832167832167831,0.9380952380952381
Overall-Average,0.6591369914807413,0.797797619047619
