Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.837062937062937,0.9523809523809523
CAD,0.6966666666666667,0.7380952380952381
CHF,1.0,1.0
Depression,0.6665501165501164,0.880952380952381
Diabetes,0.5615223665223665,0.6142857142857143
Gallstones,0.655128205128205,0.85
GERD,0.6662626262626263,0.8800000000000001
Gout,0.7777622377622377,0.9214285714285715
Hypercholesterolemia,0.452651515151515,0.6933333333333332
Hypertension,0.5330916305916306,0.7
Hypertriglyceridemia,1.0,1.0
OA,0.6110372960372961,0.8619047619047618
Obesity,0.5240873015873017,0.5976190476190475
OSA,0.6037296037296036,0.8380952380952381
PVD,0.6741258741258741,0.9047619047619049
Venous-Insufficiency,0.890909090909091,0.9666666666666668
Overall-Average,0.6969117167554668,0.8374702380952382
