Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.4820180722352726,0.8793405928614639
CAD,0.687482075040061,0.708013468013468
CHF,1.0,1.0
Depression,0.46717919175150807,0.7852425482174168
Diabetes,0.6164504310081435,0.7304824561403509
Gallstones,0.4761183048842195,0.8516101694915253
GERD,0.4416658751731114,0.7454081632653062
Gout,0.5017608803457085,0.8657344632768362
Hypercholesterolemia,0.6458726101207785,0.6533333333333333
Hypertension,0.4725484984135105,0.7854647099930119
Hypertriglyceridemia,0.484952179725192,0.9421975452951491
OA,0.45868541405835606,0.8246867167919799
Obesity,0.5519829790541391,0.5838961038961039
OSA,0.5024220858168273,0.8627118644067797
PVD,0.5807378781924508,0.8542532467532468
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
