Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.98375,0.9846153846153847
CAD,0.7606746031746031,0.7714285714285714
CHF,1,1
Depression,0.9716253680959562,0.9742424242424242
Diabetes,0.6639971139971139,0.7142857142857142
Gallstones,0.990909090909091,0.990909090909091
GERD,1.0,1.0
Gout,0.9916083916083916,0.9916666666666666
Hypercholesterolemia,0.8459487734487736,0.861111111111111
Hypertension,0.9088636363636364,0.9180555555555555
Hypertriglyceridemia,1,1
OA,1.0,1.0
Obesity,0.7730952380952381,0.8
OSA,0.9542851592851592,0.9553030303030303
PVD,1.0,1.0
Venous-Insufficiency,1.0,1.0
Overall-Average,0.9277973359361227,0.9351010968198469
