Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.4672986632039369,0.8776164549304294
CAD,0.6744190438033495,0.6988888888888889
CHF,1.0,1.0
Depression,0.4536301054887428,0.7783167738164817
Diabetes,0.5757239925415475,0.7109335839598997
Gallstones,0.4761183048842195,0.8516101694915253
GERD,0.4553092822224606,0.7556972789115647
Gout,0.49275563309772796,0.8657062146892656
Hypercholesterolemia,0.6501453857393628,0.6572941176470588
Hypertension,0.4710595216739473,0.7910202655485674
Hypertriglyceridemia,0.484952179725192,0.9421975452951491
OA,0.45060435648286523,0.8211779448621555
Obesity,0.5423923627291768,0.5712987012987013
OSA,0.4609694765889888,0.8559322033898307
PVD,0.5543281105378776,0.8525
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
Overall-Average,0.5429823247662117,0.8091641879844557
