Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.9572293066410713,0.9602564102564102
CAD,0.595573593073593,0.6142857142857142
CHF,1,1
Depression,0.963931623931624,0.9659090909090908
Diabetes,0.654484126984127,0.6714285714285714
Gallstones,0.8771803686509569,0.8833333333333332
GERD,0.8969227994227994,0.9077777777777779
Gout,0.958057498057498,0.9589743589743589
Hypercholesterolemia,0.8115223665223665,0.826388888888889
Hypertension,0.8472763347763348,0.861111111111111
Hypertriglyceridemia,1,1
OA,0.9005129592629592,0.90530303030303
Obesity,0.5740079365079366,0.5857142857142856
OSA,0.9164407814407814,0.9196969696969696
PVD,0.9827195027195028,0.9833333333333332
Venous-Insufficiency,0.9915032679738562,0.9923076923076923
Overall-Average,0.870460154122838,0.8772387855200354
