Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.837062937062937,0.9523809523809523
CAD,0.8006349206349206,0.8214285714285715
CHF,1,1
Depression,0.6072494172494173,0.85
Diabetes,0.6358730158730158,0.669047619047619
Gallstones,0.6679720279720279,0.819047619047619
GERD,0.5983080808080808,0.8233333333333333
Gout,0.7777622377622377,0.9214285714285715
Hypercholesterolemia,0.4292640692640693,0.6133333333333333
Hypertension,0.5072979797979797,0.6799999999999999
Hypertriglyceridemia,1,1
OA,0.595944055944056,0.819047619047619
Obesity,0.622478354978355,0.6761904761904762
OSA,0.6960023310023309,0.8523809523809522
PVD,0.7188811188811188,0.8928571428571429
Venous-Insufficiency,0.890909090909091,0.9666666666666668
Overall-Average,0.7116024773837273,0.8348214285714286
