Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.7417165350988879,0.7698717948717948
CAD,0.3607936507936508,0.4428571428571428
CHF,1,1
Depression,0.7691737510855157,0.7856060606060606
Diabetes,0.34277777777777774,0.3999999999999999
Gallstones,0.35837024087024083,0.421969696969697
GERD,0.5697502497502498,0.6211111111111111
Gout,0.5620278916989443,0.5987179487179488
Hypercholesterolemia,0.3731926406926407,0.43194444444444446
Hypertension,0.43784271284271287,0.46944444444444444
Hypertriglyceridemia,1,1
OA,0.54584450808909,0.6113636363636363
Obesity,0.4190620490620491,0.47142857142857136
OSA,0.449683510933511,0.49015151515151506
PVD,0.32173669467787114,0.40606060606060607
Venous-Insufficiency,0.7655125503151818,0.7878205128205128
Overall-Average,0.5635927977305202,0.6067717178654679
